city;lat;lng;country;State/admin
Berlin;525167;133833;Germany;Berlin
Hamburg;535500;100000;Germany;Hamburg
Munich;481372;115755;Germany;Bavaria
Cologne;509422;69578;Germany;North Rhine-Westphalia
Frankfurt;501136;86797;Germany;Hesse
Bremen;531153;87975;Germany;Bremen
Stuttgart;487761;91775;Germany;Baden-Württemberg
Düsseldorf;512311;67724;Germany;North Rhine-Westphalia
Dortmund;515139;74653;Germany;North Rhine-Westphalia
Essen;514508;70131;Germany;North Rhine-Westphalia
Dresden;510493;137384;Germany;Saxony
Leipzig;513500;123833;Germany;Saxony
Hannover;523744;97386;Germany;Lower Saxony
Nuremberg;494528;110778;Germany;Bavaria
Duisburg;514322;67611;Germany;North Rhine-Westphalia
Bochum;514833;72167;Germany;North Rhine-Westphalia
Wuppertal;512667;71833;Germany;North Rhine-Westphalia
Bielefeld;520167;85333;Germany;North Rhine-Westphalia
Bonn;507339;70997;Germany;North Rhine-Westphalia
Münster;519625;76256;Germany;North Rhine-Westphalia
Karlsruhe;490167;84000;Germany;Baden-Württemberg
Mannheim;494878;84661;Germany;Baden-Württemberg
Augsburg;483717;108983;Germany;Bavaria
Wiesbaden;500825;82400;Germany;Hesse
Mönchengladbach;512000;64333;Germany;North Rhine-Westphalia
Gelsenkirchen;515167;71000;Germany;North Rhine-Westphalia
Braunschweig;522692;105211;Germany;Lower Saxony
Kiel;543233;101394;Germany;Schleswig-Holstein
Aachen;507762;60838;Germany;North Rhine-Westphalia
Chemnitz;508333;129167;Germany;Saxony
Halle;514828;119697;Germany;Saxony-Anhalt
Magdeburg;521278;116292;Germany;Saxony-Anhalt
Freiburg im Breisgau;479947;78497;Germany;Baden-Württemberg
Krefeld;513333;65667;Germany;North Rhine-Westphalia
Lübeck;538697;106864;Germany;Schleswig-Holstein
Oberhausen;514699;68514;Germany;North Rhine-Westphalia
Rostock;540833;121333;Germany;Mecklenburg-Western Pomerania
Erfurt;509787;110328;Germany;Thuringia
Kassel;513158;94979;Germany;Hesse
Hagen;513594;74750;Germany;North Rhine-Westphalia
Mainz;500000;82711;Germany;Rhineland-Palatinate
