Job Title,Updated Date,Location,Company,Min Salary,Max Salary
IT-Architekt (m/w/d),2025-03-07T10:42:36Z,Duisburg,WeMatch.,75000,100000
DevOps Engineer (m/w/d),2025-03-07T10:41:36Z,Duisburg,WeMatch.,75000,97000
DevOps Engineer (m/w/d),2025-03-07T10:30:15Z,Köln,WeMatch.,75000,97000
Senior IT-Systemadministrator (m/w/d),2025-03-07T10:26:18Z,Münster,WeMatch.,62000,80000
Site Reliability Engineer - 3rd level support (m/w/d),2025-03-07T10:25:39Z,Schöppingen,shopware AG,38000,58500
Test Automation Engineer (m/w/d),2025-03-07T10:25:28Z,Berlin,shopware AG,47500,66000
Software Architect (m/f/d),2025-03-07T10:24:58Z,Berlin,Recruitment Circle GmbH,60000,85000
Senior IT-Systemadministrator (m/w/d),2025-03-07T10:24:47Z,Dortmund,WeMatch.,62000,80000
Senior IT-Systemadministrator (m/w/d),2025-03-07T10:19:56Z,Duisburg,WeMatch.,62000,80000
Software Architect (m/f/d),2025-03-07T10:19:46Z,Saarbrücken,Recruitment Circle GmbH,60000,85000
Senior IT-Systemadministrator (m/w/d),2025-03-07T10:19:10Z,Essen,WeMatch.,62000,80000
IT Support Specialist (m/w/d),2025-03-07T10:18:05Z,Essen,WeMatch.,37000,48000
IT Support Specialist (m/w/d),2025-03-07T10:17:05Z,Duisburg,WeMatch.,37000,48000
Product Owner (m/f/d),2025-03-07T10:16:39Z,Saarbrücken,Recruitment Circle GmbH,60000,85000
IT Support Specialist (m/w/d),2025-03-07T10:15:39Z,Dortmund,WeMatch.,37000,48000
Business Analyst Kundenbonusprogramme (Loyalty) (m/w/d),2025-03-07T10:15:14Z,Hannover,Finanz Informatik GmbH & Co. KG,45000,85000
Testmanager (m/w/d) Meldewesen,2025-03-07T10:15:04Z,Frankfurt am Main,Finanz Informatik GmbH & Co. KG,45000,85000
IT Support Specialist (m/w/d),2025-03-07T10:14:43Z,Münster,WeMatch.,37000,48000
IT-Berater (m/w/d) technische Infrastruktur,2025-03-07T10:14:38Z,Frankfurt am Main,Finanz Informatik GmbH & Co. KG,45000,85000
IT-Systemadministrator (m/w/d),2025-03-07T10:13:43Z,Münster,WeMatch.,48000,60000
Product Owner (m/f/d),2025-03-07T10:13:28Z,Berlin,Recruitment Circle GmbH,60000,85000
IT-Systemadministrator (m/w/d),2025-03-07T10:12:57Z,Duisburg,WeMatch.,48000,60000
IT-Systemadministrator (m/w/d),2025-03-07T10:11:47Z,Dortmund,WeMatch.,48000,60000
IT-Systemadministrator (m/w/d),2025-03-07T10:09:11Z,Essen,WeMatch.,48000,60000
IT-Security Specialist (m/w/d),2025-03-07T10:08:21Z,München,WeMatch.,72000,90000
IT Security Analyst (m/w/d),2025-03-07T10:07:36Z,München,WeMatch.,72000,90000
IT Security Analyst (m/w/d),2025-03-07T10:06:45Z,Berlin,WeMatch.,72000,90000
IT-Security Specialist (m/w/d),2025-03-07T10:06:05Z,Frankfurt am Main,WeMatch.,72000,90000
IT-Security Specialist (m/w/d),2025-03-07T10:05:19Z,Essen,WeMatch.,72000,90000
IT Security Analyst (m/w/d),2025-03-07T10:04:34Z,Essen,WeMatch.,72000,90000
IT Support Specialist (m/w/d),2025-03-07T10:03:48Z,Köln,WeMatch.,37000,48000
Informationssicherheitsbeauftragter (m/w/d) - 80% Remote,2025-03-07T10:03:03Z,Köln,WeMatch.,78000,90000
Information Security Officer (m/w/d) - 90% Hybrid,2025-03-07T10:01:57Z,Bonn,WeMatch.,78000,90000
Information Security Officer (m/w/d) - 80% Remote,2025-03-07T09:59:41Z,Köln,WeMatch.,78000,90000
Junior IT-Systemadministrator (m/w/d),2025-03-07T09:56:38Z,Ratingen,WeMatch.,37000,45000
Sales Manager (m/w/d),2025-03-07T09:56:08Z,Bremen,BUERO LERSCH,60000,85000
Teamlead IT-Security (m/w/d),2025-03-07T09:55:58Z,Düsseldorf,WeMatch.,72000,92000
Citrix Spezialist (m/w/d),2025-03-07T09:55:12Z,Köln,WeMatch.,58000,75000
IT-Systemadministrator (m/w/d),2025-03-07T09:54:32Z,Wuppertal,WeMatch.,48000,60000
IT-Support Mitarbeiter (m/w/d),2025-03-07T09:53:36Z,Mönchengladbach,WeMatch.,35000,42000
IT Support Specialist (m/w/d),2025-03-07T09:52:40Z,Düsseldorf,WeMatch.,42000,60000
Senior IT-Administrator (m/w/d),2025-03-07T09:51:09Z,Köln,WeMatch.,62000,80000
IT Support Specialist (m/w/d),2025-03-07T09:50:33Z,Köln,WeMatch.,42000,60000
Senior IT-Administrator (m/w/d),2025-03-07T09:49:48Z,Düsseldorf,WeMatch.,62000,80000
IT-Administrator (m/w/d),2025-03-07T09:49:07Z,Köln,WeMatch.,45000,62000
Senior IT-Systemadministrator (m/w/d) - 80% Hybrid,2025-03-07T09:48:32Z,Köln,WeMatch.,62000,80000
Senior IT-Systemadministrator (m/w/d) - 80% Hybrid,2025-03-07T09:47:56Z,Düsseldorf,WeMatch.,62000,80000
IT-Projektleiter (m/w/d),2025-03-07T09:47:21Z,Köln,WeMatch.,60000,85000
IT-Systemadministrator (m/w/d),2025-03-07T09:46:44Z,Düsseldorf,WeMatch.,55000,72000
IT-Systemadministrator (m/w/d),2025-03-07T09:46:13Z,Köln,WeMatch.,50000,72000
IT-Systemadministrator (m/w/d),2025-03-07T09:45:15Z,Bonn,WeMatch.,50000,72000
IT-Systemadministrator (m/w/d),2025-03-07T09:44:24Z,Aachen,WeMatch.,50000,72000
IT Support Specialist (m/w/d) - bis zu 80% Home Office,2025-03-07T09:43:18Z,Köln,WeMatch.,42000,60000
IT-Systemadministrator (m/w/d),2025-03-07T09:42:42Z,Lindlar,WeMatch.,47000,70000
IT-Administrator (m/w/d),2025-03-07T09:39:44Z,Lindlar,WeMatch.,47000,65000
IT-Systemadministrator (m/w/d),2025-03-07T09:39:04Z,Ravensburg,WeMatch.,37000,48000
IT-Administrator (m/w/d),2025-03-07T09:38:29Z,Düsseldorf,WeMatch.,45000,62000
IT Support Specialist (m/w/d) - bis zu 80% Home Office,2025-03-07T09:37:48Z,Bonn,WeMatch.,42000,60000
IT Support Specialist (m/w/d) - bis zu 80% Home Office,2025-03-07T09:36:53Z,Düsseldorf,WeMatch.,42000,60000
DevOps Engineer (m/w/d) - 60% Home Office,2025-03-07T09:36:23Z,Düsseldorf,WeMatch.,75000,97000
Linux System Administrator (m/w/d),2025-03-07T09:35:42Z,Bielefeld,WeMatch.,50000,75000
