Job Title;Updated Date;Company;Min Salary;Max Salary;Cleaned_City;Latitude;Longitude;country;State
SAP Inhouse Entwickler*in / SAP Frontend Developer â€“ Anwendungsbetreuung;2025-04-11T17:01:58Z;Carl von Ossietzky UniversitÃ¤t Oldenburg;;;oldenburg;531439;82139;Germany;Lower Saxony
Softwareentwickler (m/w/d);2025-04-11T16:06:44Z;Theobald Software GmbH;;;stuttgart;487761;91775;Germany;Baden-Württemberg
Senior Softwareentwickler (m/w/d);2025-04-11T16:06:43Z;Theobald Software GmbH;;;stuttgart;487761;91775;Germany;Baden-Württemberg
Head of Product Management (m/w/d);2025-04-11T16:06:43Z;Theobald Software GmbH;;;stuttgart;487761;91775;Germany;Baden-Württemberg
Software Support (m/w/d);2025-04-11T16:06:37Z;DIVERA GmbH;;;wuppertal;512667;71833;Germany;North Rhine-Westphalia
Junior IT-Consultant (m/w/d) fÃ¼r ERP-Software;2025-04-11T16:06:37Z;BSS Business Solutions for Services Ost GmbH;;;berlin;525167;133833;Germany;Berlin
Quereinsteiger als IT-Consultant (m/w/d) fÃ¼r ERP-Software;2025-04-11T16:06:36Z;BSS Business Solutions for Services Ost GmbH;;;berlin;525167;133833;Germany;Berlin
Android-Entwickler:in (m/w/d) zur Festanstellung;2025-04-11T16:06:35Z;DIVERA GmbH;;;wuppertal;512667;71833;Germany;North Rhine-Westphalia
Angular Consultant (m/w/d) mit UI/UX Erfahrungen;2025-04-11T16:06:01Z;Amadeus Fire AG;;;berlin;525167;133833;Germany;Berlin
Junior Java Softwareentwickler Kreditumfeld (m/w/d);2025-04-11T15:34:40Z;Finanz Informatik GmbH & Co. KG;;;münster;519625;76256;Germany;North Rhine-Westphalia
Fachverantwortlicher fÃ¼r das Internet-Filiale Framework (m/w/d);2025-04-11T15:34:30Z;Finanz Informatik GmbH & Co. KG;;;hannover;523744;97386;Germany;Lower Saxony
Systemspezialist fÃ¼r Windowsserver (m/w/d) - Schwerpunkt Softwareverteilinfrastruktur und Verfahren;2025-04-11T15:34:25Z;Finanz Informatik GmbH & Co. KG;;;hannover;523744;97386;Germany;Lower Saxony
(Senior) SAP HCM Berater (gn);2025-04-11T14:11:54Z;HRVST GmbH;;;göttingen;515339;99356;Germany;Lower Saxony
(Senior) SAP HCM Berater (gn);2025-04-11T14:11:54Z;HRVST GmbH;;;bielefeld;520167;85333;Germany;North Rhine-Westphalia
(Senior) SAP HCM Berater (gn);2025-04-11T14:11:54Z;HRVST GmbH;;;dresden;510493;137384;Germany;Saxony
